Date,Streamflow,Rain,Tmax,Tmin,Tavg
1/1/1988,0.02,0,27.82787518,13.17315601,20.50051559
1/2/1988,0.01,0,27.77413307,13.88244376,20.82828842
1/3/1988,0,0,27.41310301,13.02296528,20.21803415
1/4/1988,0,0,27.81045679,13.4532837,20.63187025
1/5/1988,0,0,28.30793883,13.35399561,20.83096722
1/6/1988,0,0,28.90232751,14.46470755,21.68351753
1/7/1988,0,0,28.14413391,14.32309256,21.23361324
1/8/1988,0,0,28.73787503,14.64851206,21.69319354
1/9/1988,0,0,28.64684369,14.44651459,21.54667914
1/10/1988,0,0,28.60871351,14.82567446,21.71719398
1/11/1988,0,0,28.48703582,15.21031902,21.84867742
1/12/1988,0,0,28.57793911,14.98122184,21.77958048
1/13/1988,0,0,28.78600387,15.83218947,22.30909667
1/14/1988,0,0,29.54180737,15.90586636,22.72383687
1/15/1988,0,0,30.34077542,15.97767356,23.15922449
1/16/1988,0,0,31.08426232,15.96412409,23.5241932
1/17/1988,0,0,30.80329438,16.6402553,23.72177484
1/18/1988,0,0,30.58432452,16.58309192,23.58370822
1/19/1988,0,0,30.73884228,16.61502702,23.67693465
1/20/1988,0,0,30.99077521,16.44418765,23.71748143
1/21/1988,0,0,31.42529192,16.9829654,24.20412866
1/22/1988,0,0,30.60335773,17.46399613,24.03367693
1/23/1988,0,0,30.1123266,17.0801919,23.59625925
1/24/1988,0,0,30.49600469,16.56218988,23.52909729
1/25/1988,0,0,31.07884243,15.70947973,23.39416108
1/26/1988,0,0,31.46961726,15.44051054,23.4550639
1/27/1988,0,0,32.11632364,16.23876717,24.17754541
1/28/1988,0,0,32.10793824,16.46412409,24.28603116
1/29/1988,0,0,31.82419798,17.05309297,24.43864548
1/30/1988,0,0,32.82974574,17.23328352,25.03151463
1/31/1988,0,0,33.16600476,17.07509013,25.12054745
2/1/1988,0,0,33.14871442,16.38973413,24.76922428
2/2/1988,0,0,32.98335672,17.11070078,25.04702875
2/3/1988,0,0,32.14413565,17.29586662,24.72000113
2/4/1988,0,0,31.82961787,15.45302865,23.64132326
2/5/1988,0,0,32.78510055,14.03554749,23.41032402
2/6/1988,0,0,32.37974498,14.18212496,23.28093497
2/7/1988,0,0,32.17587521,15.32760905,23.75174213
2/8/1988,0,0,32.89793881,15.71328393,24.30561137
2/9/1988,0,0,32.78161517,16.72799167,24.75480342
2/10/1988,0,0,32.22045838,17.11076471,24.66561154
2/11/1988,0,0,32.27226424,18.71431425,25.49328925
2/12/1988,0,0,32.34413294,19.6774184,26.01077567
2/13/1988,0,0,31.14039278,17.90863938,24.52451608
2/14/1988,0,0,31.86671704,19.28302858,25.57487281
2/15/1988,0,0.1743644482,32.21942702,19.058639,25.63903301
2/16/1988,0,0,33.50077527,18.95063699,26.22570613
2/17/1988,0,0,34.16109323,18.22198675,26.19153999
2/18/1988,0,0,34.12812859,19.52618428,26.82715644
2/19/1988,0,0,33.33942629,20.4849621,26.9121942
2/20/1988,0,0,34.41587689,20.77947942,27.59767816
2/21/1988,0,0,35.1414879,21.38128643,28.26138717
2/22/1988,0,0.2524179557,35.61510204,18.9684486,27.29177532
2/23/1988,0,0,35.27419874,18.86450584,27.06935229
2/24/1988,0,0,34.38516487,18.14509,26.26512743
2/25/1988,0,0,34.41684241,19.17773652,26.79728946
2/26/1988,0,0,35.17955432,20.59986117,27.88970774
2/27/1988,0,0,36.34167891,20.29237967,28.31702929
2/28/1988,0,0,35.98709785,20.2234751,28.10528647
2/29/1988,0,0,34.80961741,19.71624875,27.26293308
3/1/1988,0,0,34.40187018,20.62102086,27.51144552
3/2/1988,0,0,33.01993461,17.76244483,25.39118972
3/3/1988,0,0,33.06535542,16.91360185,24.98947864
3/4/1988,0,0,34.38155161,20.00005277,27.19080219
3/5/1988,0,0,34.69161501,20.53708782,27.61435142
3/6/1988,0,0.2104210667,35.66161623,19.70238125,27.68199874
3/7/1988,0,0,36.11535466,20.11122204,28.11328835
3/8/1988,0,0,36.30148775,21.14683252,28.72416013
3/9/1988,0,0,36.30503864,21.50844778,28.90674321
3/10/1988,0,0,36.03587583,21.5656751,28.80077546
3/11/1988,0,0,36.19858579,21.53676971,28.86767775
3/12/1988,0,0,35.97478106,22.18109369,29.07793738
3/13/1988,0,0,37.03245628,21.80561093,29.41903361
3/14/1988,0,0,37.52625765,21.03864027,29.28244896
3/15/1988,0,0,37.32264744,21.94876816,29.6357078
3/16/1988,0,0,38.51161505,23.18947927,30.85054716
3/17/1988,0,0,38.37419722,22.87741726,30.62580724
3/18/1988,0,0,38.7896828,23.32857535,31.05912907
3/19/1988,0,0,38.48806683,22.16786416,30.3279655
3/20/1988,0,0,37.01090181,19.95618458,28.4835432
3/21/1988,0,0,36.81064877,19.51922501,28.16493689
3/22/1988,0,0,38.13083871,19.98115877,29.05599874
3/23/1988,0,0,37.92987243,20.14095721,29.03541482
3/24/1988,0,0,37.47232703,21.12618466,29.29925585
3/25/1988,0,0,37.53310368,21.64631299,29.58970833
3/26/1988,0,0,36.94381677,22.6943779,29.81909733
3/27/1988,0,0,37.07619486,21.50082821,29.28851153
3/28/1988,0,0,36.75993629,20.50676919,28.63335274
3/29/1988,0,0,37.63445163,20.19509097,28.9147713
3/30/1988,0,0,38.90174231,20.64586527,29.77380379
3/31/1988,0,0,39.34367544,21.61218929,30.47793237
4/1/1988,0,0,39.00090314,22.65341147,30.8271573
4/2/1988,0,0,39.49980976,23.82141311,31.66061143
4/3/1988,0,0,39.88787464,24.18586618,32.03687041
4/4/1988,0,0,39.9078096,23.95947973,31.93364467
4/5/1988,0,0.01428689161,39.40568486,24.18832004,31.79700245
4/6/1988,0,0,39.85955462,24.56793906,32.21374684
4/7/1988,0,0,40.16871454,24.793614,32.48116427
4/8/1988,0,0,39.97961593,24.82012774,32.39987183
4/9/1988,0,0,39.64270916,23.72786363,31.6852864
4/10/1988,0,0,38.75342302,24.44657775,31.60000038
4/11/1988,0,0.08779855853,39.28064965,25.35386765,32.31725865
